Date,GOLD
1/1/2014,2.16
2/1/2014,2.61
3/1/2014,3.22
4/1/2014,3.13
5/1/2014,2.42
6/1/2014,3.00
7/1/2014,2.75
8/1/2014,2.57
9/1/2014,2.21
10/1/2014,2.29
11/1/2014,2.29
12/1/2014,2.24
1/1/2015,2.33
2/1/2015,2.68
3/1/2015,2.31
4/1/2015,2.40
5/1/2015,2.60
6/1/2015,2.46
7/1/2015,1.96
8/1/2015,2.07
9/1/2015,2.23
10/1/2015,2.43
11/1/2015,2.16
12/1/2015,1.99
1/1/2016,2.05
2/1/2016,2.29
3/1/2016,2.40
4/1/2016,2.66
5/1/2016,2.43
6/1/2016,2.43
7/1/2016,2.45
8/1/2016,2.38
9/1/2016,2.38
10/1/2016,2.32
11/1/2016,2.63
12/1/2016,2.90
1/1/2017,2.98
2/1/2017,3.11
3/1/2017,3.71
4/1/2017,3.83
5/1/2017,3.47
6/1/2017,2.88
7/1/2017,2.26
8/1/2017,3.06
9/1/2017,2.85
10/1/2017,2.90
11/1/2017,2.47
12/1/2017,2.83
1/1/2018,2.93
2/1/2018,2.58
3/1/2018,2.95
4/1/2018,2.99
5/1/2018,2.94
6/1/2018,2.69
7/1/2018,2.09
8/1/2018,2.20
9/1/2018,2.58
10/1/2018,2.51
11/1/2018,2.21
12/1/2018,2.10
1/1/2019,2.73
2/1/2019,2.71
3/1/2019,2.90
4/1/2019,2.82
5/1/2019,2.72
6/1/2019,2.97
7/1/2019,2.92
8/1/2019,2.72
9/1/2019,3.40
10/1/2019,2.85
11/1/2019,2.64
12/1/2019,2.84
1/1/2020,2.71
2/1/2020,3.15
3/1/2020,3.68
4/1/2020,4.39
5/1/2020,4.59
6/1/2020,4.20
7/1/2020,4.47
8/1/2020,4.95
9/1/2020,4.40
10/1/2020,4.23
11/1/2020,4.32
12/1/2020,4.39
1/1/2021,4.61
2/1/2021,4.81
3/1/2021,4.75
4/1/2021,4.59
5/1/2021,5.08
6/1/2021,4.89
7/1/2021,4.89
8/1/2021,5.01
9/1/2021,4.72
10/1/2021,5.04
11/1/2021,5.02
12/1/2021,4.91
1/1/2022,4.78
2/1/2022,4.86
3/1/2022,5.18
4/1/2022,5.14
5/1/2022,5.11
