Date,CASS A,CASS B,CASS C,CASS D
2022-05-01,3.6883939859169663,3.693375516198489,3.6981252970258036,3.702875077853119
2022-06-01,3.6708751370116808,3.6818126195120193,3.6921953622711468,3.7024876875066184
2022-07-01,3.6472568630022844,3.665393339137368,3.682507671082338,3.6993035114187545
2022-08-01,3.616341364106665,3.6432565963773476,3.668465411416645,3.6929275239161137
2022-09-01,3.576692845678202,3.614387637818176,3.6493773256524933,3.682910154549525
2022-10-01,3.5265899797456406,3.57759042684874,3.6244426438342923,3.66873968742757
2022-11-01,3.474778882778404,3.535911923292595,3.590671929832017,3.6407143859811733
2022-12-01,3.4186799065079647,3.4913656227076375,3.5548319359977127,3.6110290985962834
2023-01-01,3.3577999960109666,3.4436641918351105,3.516736863106046,3.579544251852701
2023-02-01,3.29559499464509,3.3899760361100935,3.471946399923068,3.5397574613789997
2023-03-01,3.2348019393677583,3.337452061623721,3.428050083008787,3.500725160496821
2023-04-01,3.1753286341353926,3.286027559155348,3.3850004281249317,3.462410026343018
2023-05-01,3.1361635793957228,3.253106742056443,3.3567971271756125,3.4386934975061223
2023-06-01,3.097146530095123,3.2202999658814546,3.3286851614546054,3.4150368513968736
2023-07-01,3.0582393001897534,3.187579534598162,3.300642866097614,3.3914232292765156
2023-08-01,3.019403630385197,3.154917661309354,3.2726484959272435,3.367835695585563
2023-09-01,2.9806011519302844,3.1222864451399577,3.2446802087020066,3.3442572258847507
2023-10-01,2.941793350215645,3.0896578479422923,3.216716048220357,3.32067069467655
2023-11-01,2.9061036021665223,3.0595569155839937,3.1905906890165356,3.298453611068851
2023-12-01,2.8700234537762954,3.029157309200894,3.164245289444411,3.2760573675296714
2024-01-01,2.8335323872367137,2.9984451593261787,3.1376699348460955,3.253474931216222
2024-02-01,2.7966095433589153,2.967406377577199,3.1108545753015586,3.230699178839917
2024-03-01,2.759233708571834,2.9360266495687277,3.0837890215710297,3.2077228943299394
2024-04-01,2.7213833016468394,2.9042914276847176,3.0564629409668824,3.1845387664592613
2024-05-01,2.683036360139683,2.8721859237045932,3.0288658531531976,3.1611393864322896
